Count,Name,Position X,Position Y,Position Z,Rotation
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,4260.0000,3348.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,3900.0000,3348.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,4260.0000,3540.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C_Symbol,4716.0000,2748.0000,216.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,324.0000,1860.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,468.0000,1860.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,36.0000,1860.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-C1_Symbol,180.0000,1860.0000,216.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,3156.0000,3162.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,3156.0000,3072.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,3516.0000,3072.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,3156.0000,3252.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,3732.0000,3540.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,3900.0000,3540.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,3900.0000,3444.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,3732.0000,3444.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-VF_Symbol,3732.0000,3348.0000,120.0000,0
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,1836.0000,1704.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,120.0000,588.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,48.0000,588.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,336.0000,588.0000,120.0000,90
1,AGI32-IDcx4qny-Project_1-LUMINAIRE-ZG_Symbol,192.0000,588.0000,120.0000,90
